,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4250149684.5196905,28752695.323928736,0.0,21496.726910566787,0.8224515614245611
32,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,7,0,0,7,0,0,5,1,1,7,0,0,185027701.66814524,220300514.19782045,61400000.0,989.4280963202533,0.03530711386409243
33,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,2353001733.0919523,45796089.10791659,146000000.0,0.0,1.1258207104614475
34,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,7,0,0,3,0,1,4,2,1,6,0,0,36477174.644382,186053894.4721506,394500000.0,384.7537664961639,0.002554890203223497
35,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3,0,0,0,2,0,0,3,0,0,3,2,3,1,0,0,111027912.12129736,118616602.33748206,883800000.0,4556.4187003033785,0.009269270879664164
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,2,1,7,0,0,6,2,0,6,0,0,339658944.8305327,247912389.74782422,0.0,14160.040155033488,0.027485370465452044
37,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,337513336.4806297,14092235.304915495,436400000.0,14356.410484220847,0.02718583787371637
38,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,1,0,3,2,3,6,0,0,61254115.517614104,161329481.39673007,230600000.0,2210.252512364022,0.005212580186283006
39,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1818704698.4138007,18545877.781152677,199900000.0,71622.3390293697,0.22986883877137793
40,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3201588425.3977237,26620087.93698693,115300000.0,0.0,2.0378742885231844
41,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1399038707.3043973,28752695.323928736,199900000.0,0.0,1.4070180657239362
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,0,2969131877.5622725,79763656.88293718,0.0,0.0,2.3207895041421365
43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4303033311.969826,0.0,121200000.0,37460.13987433183,0.35276332885356715
44,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,131851439.73691475,72040732.01446149,862300000.0,6273.489474335,0.007425686752050865
45,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2487845771.033256,15444563.06553661,236500000.0,13980.639202026157,0.46439240683257005
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,7,3,0,3,0,0,7,3,0,38720399.50870898,277045897.5047845,0.0,0.0,0.01812891848450955
47,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,4,0,0,0,2,0,0,5,1,0,0,0,0,0,0,1,71533724.01794112,120666797.39270826,1098800000.0,4107.75580259057,0.004395844083846682
48,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1399038707.3043973,28752695.323928736,199900000.0,44613.80360785051,0.21105270985859054
49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,2806891809.0741963,35266804.137615845,84600000.0,20831.881794972855,0.5100246302622173
50,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,3,0,0,0,0,335069774.1147034,81955421.30530556,267200000.0,0.0,0.2236185218284314
51,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,180529056.1065326,47711826.28151549,1110800000.0,7587.600730507325,0.01433128035730637
52,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,297635727.0345834,8453407.696608048,690800000.0,0.0,0.18815259896610143
53,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,7,0,0,6,0,0,2,1,0,3,0,0,72315239.74139416,149158009.33695573,423600000.0,2339.3031977312344,0.0041279546502455975
54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3498604254.540806,11068771.68625446,169200000.0,133754.05089730927,0.4699104040013492
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,3890617995.131922,57354573.83472725,0.0,0.0,3.4644179923483645
56,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3959690002.6134396,36672326.35204622,61400000.0,0.0,1.9446675380502552
57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1034985865.8156147,68106108.1503974,61400000.0,41133.79306287174,0.0830674284877097
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1,0,4,0,0,4,2,1,0,1,0,1600023385.9908924,191931861.75936663,0.0,22403.32231861316,0.10045091118265115
59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4027723184.358452,27631367.846842468,30700000.0,35926.94849381798,0.24268207492481986
60,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1818704698.4138007,15173808.632728375,199900000.0,34725.9825596944,0.6896065163141339
61,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,288031880.2738507,47079149.51257324,473000000.0,11878.721873525126,0.022386744893974728
62,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,1900906826.4351375,61940183.26636973,61400000.0,18146.933934548942,0.3792083775528995
63,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,881575324.5206198,56194929.638295,146000000.0,40877.75535264438,0.07268219303192443
64,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,3,1,0,0,0,0,0,0,2,0,0,6,0,0,186162669.04941607,126059630.44512565,382500000.0,6192.4754342277965,0.01849086128082095
65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,1,0,3,0,0,3,1,0,2,2,7,7,0,0,128931485.18335903,248627263.12034822,61400000.0,2780.828971798878,0.010412340416226143
66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,6,3,3,3,0,0,7,0,0,37108131.70934042,253649054.9550469,84600000.0,0.0,0.020483595417839295
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,3993457773.5525603,37055620.225612074,0.0,27914.183394518135,0.2951539080834254
68,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2293106154.4514794,7332080.219521779,297900000.0,10246.797978342202,0.39136408828862446
69,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2353634287.1373706,0.0,357700000.0,18995.35908435185,0.1701816868602942
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4250149684.5196905,27631367.846842468,0.0,0.0,2.284587670623781
71,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,306636234.8838216,42674969.43493059,606200000.0,9524.972528055187,0.029397127214284703
72,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,757100451.5180392,30518832.761027623,302400000.0,30720.22509319846,0.05950598661944524
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4326003035.451217,7332080.219521779,0.0,22900.72255688718,0.8558100826349734
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,7,0,0,7,2,0,3,0,2,7,0,0,27522667.58229571,292562594.5206893,0.0,935.8496560317489,0.001539324257947997
75,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,2,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,97225910.92617959,73337248.43252543,1255200000.0,3500.7231051313156,0.009240154385445294
76,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2487845771.033256,7332080.219521779,236500000.0,28835.06835417895,0.15479746894419003
77,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,289966832.29590535,40542362.04798879,600300000.0,13516.447969999619,0.020439993859643443
78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,1,0,0,0,2680651201.17436,62610568.86103503,30700000.0,61364.33610670871,0.24290406210409632
79,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,370435904.53351295,7332080.219521779,569600000.0,16260.868501880428,0.028458874089780574
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,1816741638.953015,74942945.80234572,30700000.0,22587.7074252316,0.14646018851857387
81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,3,5,0,0,0,0,0,537780870.0198921,132692047.35745369,30700000.0,0.0,0.370064920491868
82,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,1,0,0,3,0,370095880.23894566,141406986.40954795,199900000.0,0.0,0.20949580262958042
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3488967189.4763756,65041277.873212054,0.0,133669.21644105384,0.46937065310262516
84,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,347150401.54505926,22258486.725668453,351800000.0,14441.24494047626,0.027725588772440395
85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,2,0,0,0,3970629656.9361854,57855313.96117246,30700000.0,16359.231133769863,0.7028104680343182
86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,7,0,0,6,6,2,5,2,3,7,3,0,1709067.9098230535,357471923.13526374,30700000.0,0.0,0.0007417564932269447
87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,2249639553.935177,72912731.54978809,30700000.0,0.0,1.5005974316180515
88,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1423144105.979574,26620087.93698693,199900000.0,27551.203232954125,0.5092997601559401
89,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,3,0,534964622.3658336,99263119.6337432,146000000.0,24905.49863449994,0.037240259588034244
90,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,2,0,0,3,0,0,3,2,7,1,0,0,37365400.140222505,125487386.90907846,1029800000.0,741.8538788988396,0.009415388304728068
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,0,5,0,0,0,0,0,724508836.7674285,95984116.9807107,0.0,30430.430202272695,0.05766439734838326
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2751439357.402625,74942945.80234572,0.0,0.0,2.8643733855455222
93,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,567703965.0150623,34202711.611239396,199900000.0,23493.765213285304,0.04710292475557997
94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1218464780.1057723,73690303.3730879,30700000.0,53011.16991433417,0.11858851793288139
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,7,0,0,3,0,1,2,3,1,3,3,0,198453213.91935667,255585748.0919276,0.0,5413.811023277387,0.03469847949651915
96,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862758179.2253282,0.0,199900000.0,35971.950791973984,0.6945884543049209
97,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,8,0,0,6,0,0,6,6,0,7,0,0,0.0,227145437.24649462,115300000.0,0.0,0.0
98,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3518747941.4448137,7332080.219521779,115300000.0,69667.91935672708,0.2920915987287336
99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2851683832.6655984,27631367.846842468,115300000.0,21176.96263262823,0.5873455095754556
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4326003035.451217,6320800.309666242,0.0,47232.740273579795,0.28527002754499114
101,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,2518151778.275991,41553641.957844324,115300000.0,0.0,1.2302246285280087
102,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3518747941.4448137,14092235.304915495,115300000.0,0.0,2.43409665607278
103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,0,0,3878830754.443061,55801081.01825476,30700000.0,0.0,2.2485496016002346
104,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4028347939.4701815,6320800.309666242,286800000.0,0.0,2.023901864403041
105,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,0,1655632019.4015074,42743910.23251405,169200000.0,0.0,1.6286630569321217
106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,3,0,7,0,1,3,1,1,6,0,0,208043735.05190563,238833431.61832234,30700000.0,4218.681710961966,0.05020171162226601
107,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,6,0,0,7,0,1,3,3,0,3,0,0,26808124.33741079,174103419.00278613,473000000.0,739.3450385894354,0.0022829607562606475
108,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,4,0,0,7,0,0,5,0,1,2,0,0,3,0,0,17771297.35526539,211658172.1293414,521600000.0,0.0,0.006504592304543155
109,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3964562995.9099464,15173808.632728375,61400000.0,33552.8073240071,0.2339008071419446
110,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,276091331.03822684,46234704.33144778,261300000.0,12453.617457146756,0.018696673376203236
111,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,159927964.1244565,78680939.69366999,934900000.0,3254.1151893645774,0.038313279875376624
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2806891809.0741963,36071242.182722464,84600000.0,42965.75620213151,0.1700082100874058
113,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,3,0,0,0,1,7,1,0,0,95930311.26895557,113123447.1444285,781300000.0,2111.893133724981,0.020670738630440024
114,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,7,0,0,213120670.8571432,90766273.6372599,636900000.0,0.0,0.13477391356973628
115,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,6,5,0,0,2,1,0,7,0,0,142389398.78015593,153129249.42076895,345900000.0,6185.383365871442,0.010748801322393003
116,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,3,0,349356455.6199892,60346009.03186572,485000000.0,11010.18123260943,0.033662107828851096
117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,3,3,0,0,0,734145901.8318584,60594486.05096421,169200000.0,0.0,0.485034568725894
118,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,2378961069.3811855,53360277.340630755,115300000.0,70914.30950098521,0.25024992482468045
119,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,550069660.0211611,41084334.8052938,284500000.0,0.0,0.3854089601594767
120,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,6,0,0,3,3,0,356394625.503822,139099246.8600527,146000000.0,14993.504504824858,0.0282581182330145
121,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,1,0,4,0,0,276114238.80298996,123963726.35281126,315200000.0,0.0,0.18834251436655783
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,908467122.2633266,73821618.32525945,0.0,26112.03559380235,0.0865674613699601
123,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,262058761.00046325,79418589.70901293,636900000.0,0.0,0.15072166902101142
124,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4000206637.6757345,7332080.219521779,151900000.0,34859.623726173726,0.23911635055717104
125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1959861347.3639255,53763518.229466036,115300000.0,72833.70718577334,0.2377694408258167
126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4055901765.8325415,11068771.68625446,30700000.0,0.0,2.0572905589317623
127,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,569786624.5563787,37719598.02837785,333100000.0,0.0,0.3625758843584693
128,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,329473838.7329372,44256385.4929623,382500000.0,14796.353957419582,0.02500323693773536
129,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,621032667.6325469,7332080.219521779,394500000.0,0.0,0.366444267070155
